Pair,risk_reward,min_divergence,divergence_mode,use_kill_zones,use_coordinates_filter,Trades,WinRate,ProfitFactor,TotalPnL,MaxDD,AvgR,Score
EURUSD,1.5,1,conflict,True,True,156,42.9,1.29,144.0,90.2,0.07,80.7
EURUSD,1.5,1,conflict,False,True,423,43.7,1.32,372.6,132.0,0.09,74.2
EURUSD,1.5,1,consensus,True,True,633,38.2,0.94,-117.5,246.0,-0.04,36.6
EURUSD,1.5,1,consensus,False,True,1378,39.3,0.99,-53.4,462.7,-0.02,-4.0
EURUSD,1.5,2,conflict,True,True,70,40.0,1.28,65.9,59.7,-0.0,80.9
EURUSD,1.5,2,conflict,False,True,176,43.2,1.3,153.2,71.1,0.08,85.2
EURUSD,1.5,2,consensus,True,True,673,38.0,0.94,-123.9,229.7,-0.05,39.5
EURUSD,1.5,2,consensus,False,True,1489,39.5,1.01,20.8,370.0,-0.01,15.1
EURUSD,2.0,1,conflict,True,True,156,37.2,1.4,218.2,88.4,0.12,70.7
EURUSD,2.0,1,conflict,False,True,423,36.2,1.28,368.2,122.9,0.09,60.6
EURUSD,2.0,1,consensus,True,True,633,32.2,0.99,-29.4,265.2,-0.03,21.3
EURUSD,2.0,1,consensus,False,True,1378,33.0,1.03,111.7,389.3,-0.01,-1.6
EURUSD,2.0,2,conflict,True,True,70,35.7,1.52,127.6,51.0,0.07,76.4
EURUSD,2.0,2,conflict,False,True,176,35.8,1.3,173.5,93.4,0.07,65.9
EURUSD,2.0,2,consensus,True,True,673,32.1,0.99,-11.3,254.0,-0.04,23.3
EURUSD,2.0,2,consensus,False,True,1489,33.2,1.05,223.2,284.2,-0.0,20.1
EURUSD,2.5,1,conflict,True,True,156,28.2,1.29,175.2,125.5,-0.01,44.2
EURUSD,2.5,1,conflict,False,True,423,29.8,1.23,336.5,188.5,0.04,34.2
EURUSD,2.5,1,consensus,True,True,633,27.6,1.05,105.0,242.6,-0.03,17.2
EURUSD,2.5,1,consensus,False,True,1378,28.4,1.05,212.0,489.4,-0.01,-30.6
EURUSD,2.5,2,conflict,True,True,70,25.7,1.26,75.0,72.7,-0.1,49.5
EURUSD,2.5,2,conflict,False,True,176,29.0,1.16,105.3,97.1,0.01,50.2
EURUSD,2.5,2,consensus,True,True,673,27.0,1.02,48.8,290.9,-0.05,6.0
EURUSD,2.5,2,consensus,False,True,1489,28.3,1.05,226.3,413.3,-0.01,-15.6
GBPUSD,1.5,1,conflict,True,True,203,37.4,1.07,71.9,217.5,-0.06,42.0
GBPUSD,1.5,1,conflict,False,True,626,32.6,0.84,-455.7,618.8,-0.18,-50.2
GBPUSD,1.5,1,consensus,True,True,833,37.1,0.92,-295.5,459.2,-0.07,-8.4
GBPUSD,1.5,1,consensus,False,True,1928,36.2,0.94,-462.4,903.9,-0.1,-99.0
GBPUSD,1.5,2,conflict,True,True,68,45.6,1.66,208.7,66.0,0.14,94.6
GBPUSD,1.5,2,conflict,False,True,195,34.9,0.95,-47.3,251.8,-0.13,28.9
GBPUSD,1.5,2,consensus,True,True,876,37.3,0.94,-222.7,442.7,-0.07,-4.5
GBPUSD,1.5,2,consensus,False,True,2060,35.9,0.94,-554.7,1025.2,-0.1,-123.8
GBPUSD,2.0,1,conflict,True,True,203,32.5,1.12,133.4,249.4,-0.02,26.3
GBPUSD,2.0,1,conflict,False,True,626,26.8,0.84,-497.1,641.9,-0.19,-66.4
GBPUSD,2.0,1,consensus,True,True,833,30.7,0.89,-480.7,640.1,-0.08,-57.7
GBPUSD,2.0,1,consensus,False,True,1928,29.5,0.91,-821.3,1306.7,-0.11,-193.2
GBPUSD,2.0,2,conflict,True,True,68,39.7,1.77,271.3,75.6,0.19,82.0
GBPUSD,2.0,2,conflict,False,True,195,30.3,1.04,40.0,249.5,-0.09,21.1
GBPUSD,2.0,2,consensus,True,True,876,30.9,0.91,-409.3,629.9,-0.07,-55.1
GBPUSD,2.0,2,consensus,False,True,2060,29.4,0.91,-905.0,1413.3,-0.12,-214.8
GBPUSD,2.5,1,conflict,True,True,203,30.0,1.27,311.1,264.5,0.05,19.8
GBPUSD,2.5,1,conflict,False,True,626,22.7,0.85,-483.4,613.4,-0.2,-68.8
GBPUSD,2.5,1,consensus,True,True,833,26.9,0.95,-243.7,694.8,-0.06,-75.7
GBPUSD,2.5,1,consensus,False,True,1928,25.1,0.92,-752.9,1436.3,-0.12,-227.9
GBPUSD,2.5,2,conflict,True,True,68,35.3,1.93,348.5,92.5,0.24,71.4
GBPUSD,2.5,2,conflict,False,True,195,25.1,1.07,78.2,271.1,-0.12,6.7
GBPUSD,2.5,2,consensus,True,True,876,27.2,0.98,-117.6,738.0,-0.05,-83.4
GBPUSD,2.5,2,consensus,False,True,2060,25.0,0.92,-815.4,1525.9,-0.13,-246.0
